word,ipa,source
sample,ˈsæmpəl,cmu_dict
abortion,əˈbɔrʃən,cmu_dict
absorption,"əbˈzɔrpʃən, əbˈsɔrpʃən",cmu_dict
absorption,"əbˈzɔrpʃən, əbˈsɔrpʃən",cmu_dict
acceleration,ˌækˌsɛlɝˈeɪʃən,cmu_dict
accomplishment,əˈkɑːmplɪʃmənt,cmu_dict
accomplishment,əˈkɑːmplɪʃmənt,cmu_dict
accomplishment,əˈkɑːmplɪʃmənt,cmu_dict
accord,əˈkɔrd,cmu_dict
accord,əˈkɔrd,cmu_dict
accordance,əˈkɔrdəns,cmu_dict
accountability,əˈkaʊntəˌbɪlɪti,cmu_dict
accrual,əˈkruːəl,cmu_dict
accumulation,əˌkjuːmjəˈleɪʃən,cmu_dict
acre,ˈeɪkɝ,cmu_dict
activist,ˈæktɪvɪst,cmu_dict
adaptation,ˌædəpˈteɪʃən,cmu_dict
adaptation,ˌædəpˈteɪʃən,cmu_dict
administrator,ədˈmɪnɪˌstreɪtɝ,cmu_dict
adolescent,"ˌædəˈlɛsənt, ˌædoʊˈlɛsənt",cmu_dict
advertiser,ˈædvɝˌtaɪzɝ,cmu_dict
advisory,ædˈvaɪzɝi,cmu_dict
aerosol,ˈɛrəˌsɑːl,cmu_dict
affiliate,"əˈfɪliːˌeɪt, əˈfɪliːət",cmu_dict
aggregate,"ˈægrəgət, ˈægrəgeɪt",cmu_dict
airfare,ˈɛrˌfɛr,cmu_dict
alert,əˈlɝːt,cmu_dict
algebra,ˈældʒəbrə,cmu_dict
algorithm,ˈælgɝˌɪðəm,cmu_dict
alien,ˈeɪliːən,cmu_dict
alien,ˈeɪliːən,cmu_dict
allocation,ˌæləˈkeɪʃən,cmu_dict
alpha,ˈælfə,cmu_dict
alpha,ˈælfə,cmu_dict
alternate,"ˈɔltɝnət, ˈɔltɝˌneɪt",cmu_dict
amendment,əˈmɛndmənt,cmu_dict
amino,əˈmiːnoʊ,cmu_dict
amortization,ˌæmɝtɪˈzeɪʃən,cmu_dict
amplitude,ˈæmpləˌtuːd,cmu_dict
announcer,əˈnaʊnsɝ,cmu_dict
annuity,"əˈnuːɪti, ənˈjuːɪti",cmu_dict
annum,ˈænəm,cmu_dict
anthropology,ˌænθrəˈpɑːlədʒi,cmu_dict
antibody,"ˈæntɪˌbɑːdi, ˈæntiːˌbɑːdi",cmu_dict
antiquity,ænˈtɪkwəti,cmu_dict
antiquity,ænˈtɪkwəti,cmu_dict
appendix,əˈpɛndɪks,cmu_dict
appendix,əˈpɛndɪks,cmu_dict
appliance,əˈplaɪəns,cmu_dict
appraisal,əˈpreɪzəl,cmu_dict
apprentice,"əˈprɛntəs, əˈprɛntɪs",cmu_dict
approximation,əˌprɑːksəˈmeɪʃən,cmu_dict
arbitrage,ˈɑːrbɪˌtrɑːʒ,cmu_dict
arbitration,ˌɑːrbɪˈtreɪʃən,cmu_dict
archaeology,ˌɑːrkiːˈɑːlədʒi,cmu_dict
archive,ˈɑːrˌkaɪv,cmu_dict
archive,ˈɑːrˌkaɪv,cmu_dict
array,ɝˈeɪ,cmu_dict
array,ɝˈeɪ,cmu_dict
artifact,ˈɑːrtəˌfækt,cmu_dict
artwork,ˈɑːrˌtwɝːk,cmu_dict
assertion,əˈsɝːʃən,cmu_dict
asset,ˈæˌsɛt,cmu_dict
asset,ˈæˌsɛt,cmu_dict
associate,"əˈsoʊsiːət, əˈsoʊsiːˌeɪt, əˈsoʊʃiːət, əˈsoʊʃiːˌeɪt",cmu_dict
asylum,əˈsaɪləm,cmu_dict
attendant,əˈtɛndənt,cmu_dict
attendee,əˈtɛnˈdiː,cmu_dict
attorney,əˈtɝːni,cmu_dict
auditor,ˈɔdɪtɝ,cmu_dict
auditorium,ˌɔdəˈtɔriːəm,cmu_dict
authorization,ˌɔθɝəˈzeɪʃən,cmu_dict
auto,ˈɔtoʊ,cmu_dict
automobile,"ˈɔtəmoʊˌbiːl, ˌɔtəmoʊˈbiːl",cmu_dict
autonomy,"ɔˈtɑːnəmi, əˈtɑːnəmi",cmu_dict
aversion,əˈvɝːʒən,cmu_dict
aviation,ˌeɪviːˈeɪʃən,cmu_dict
